,Player,Nation,Pos,Squad,Age,90s_played,TotalAtt_Pass,TotalComp_Passes,Pass_Blocked,Live_Passes,Dead_Passes,Switches_Pass,Cross_Passes
189,Idrissa Gana Gueye,sn SEN,MF,Everton,32,28.6,1226,1025,23,1205,17,4,10
190,Alejandro Garnacho,ar ARG,"FW,MF",Manchester Utd,18,6.3,187,150,7,187,0,2,2
191,James Garner,eng ENG,"MF,DF",Everton,21,8.9,353,256,9,310,41,2,37
192,David de Gea,es ESP,GK,Manchester Utd,31,38.0,1218,866,1,968,243,3,0
193,Joe Gelhardt,eng ENG,FW,Leeds United,20,2.4,67,43,4,62,3,0,1
194,Saman Ghoddos,ir IRN,"MF,FW",Brentford,28,1.5,79,59,1,68,11,0,7
195,Morgan Gibbs-White,eng ENG,"FW,MF",Wolves,22,2.0,95,75,2,88,7,1,8
196,Morgan Gibbs-White,eng ENG,"MF,FW",Nott'ham Forest,22,33.0,1078,659,30,891,171,8,161
197,Bryan Gil,es ESP,"MF,FW",Tottenham,21,1.6,60,47,3,57,3,0,2
198,Billy Gilmour,sct SCO,MF,Brighton,21,5.6,408,364,3,403,2,1,2
199,Degnand Gnonto,it ITA,"FW,MF",Leeds United,18,15.0,512,370,35,482,26,0,42
200,Ben Godfrey,eng ENG,DF,Everton,24,8.9,281,182,9,232,48,0,7
201,João Gomes,br BRA,MF,Wolves,21,7.3,322,250,9,307,14,3,8
202,Toti Gomes,pt POR,DF,Wolves,23,10.9,555,460,5,499,55,5,9
203,Joe Gomez,eng ENG,DF,Liverpool,25,16.3,1361,1166,5,1316,39,11,4
204,Sergio Gómez,es ESP,"DF,MF",Manchester City,21,3.9,317,279,7,287,30,0,8
205,Anthony Gordon,eng ENG,"FW,MF",Newcastle Utd,21,5.4,198,162,4,191,4,0,9
206,Anthony Gordon,eng ENG,FW,Everton,21,12.2,280,193,10,272,7,1,25
207,Demarai Gray,jm JAM,"FW,MF",Everton,26,27.9,838,579,38,666,172,8,173
208,Jack Grealish,eng ENG,FW,Manchester City,26,22.8,1072,902,35,1011,56,8,53
209,Sam Greenwood,eng ENG,"MF,FW",Leeds United,20,4.7,186,107,2,143,43,1,43
210,Pascal Groß,de GER,"MF,DF",Brighton,31,36.0,2347,1879,50,2004,333,20,224
211,Vicente Guaita,es ESP,GK,Crystal Palace,35,27.0,845,610,0,590,251,4,0
212,Gonçalo Guedes,pt POR,"FW,MF",Wolves,25,7.9,201,138,8,182,19,4,27
213,Marc Guéhi,eng ENG,DF,Crystal Palace,22,37.0,2208,1883,12,2124,79,29,0
