,Player,Nation,Pos,Squad,Age,90s_played,Goals,Tot_Shot,Shot_On_Target,Shot_Target_Rate,TotalShotPer90,ShotTargetPer90,Goal/TotShot,Goal/ShotTarget,Penalty,Att_Penalty,xG,NoPen_xG,NoPen_xGperShot,Goal-xG,NoPen_Goal-xG
58,Victor Bernth Kristiansen,dk DEN,DF,Leicester City,19,9.9,0,3,0,0.0,0.30,0.00,0.00,,0,0,0.1,0.1,0.04,-0.1,-0.1
59,Owen Bevan,wls WAL,DF,Bournemouth,18,0.1,0,0,0,,0.00,0.00,,,0,0,0.0,0.0,,0.0,0.0
60,Giulian Biancone,fr FRA,DF,Nott'ham Forest,22,0.2,0,0,0,,0.00,0.00,,,0,0,0.0,0.0,,0.0,0.0
61,Philip Billing,dk DEN,"MF,FW",Bournemouth,26,30.7,7,38,18,47.4,1.24,0.59,0.18,0.39,0,0,4.9,4.9,0.13,+2.1,+2.1
62,Yves Bissouma,ml MLI,MF,Tottenham,25,11.2,0,6,0,0.0,0.53,0.00,0.00,,0,0,0.2,0.2,0.03,-0.2,-0.2
63,Willy Boly,ci CIV,DF,Nott'ham Forest,31,7.6,0,2,1,50.0,0.26,0.13,0.00,0.00,0,0,0.0,0.0,0.02,0.0,0.0
64,Sven Botman,nl NED,DF,Newcastle Utd,22,34.7,0,22,7,31.8,0.63,0.20,0.00,0.00,0,0,2.5,2.5,0.11,-2.5,-2.5
65,Jarrod Bowen,eng ENG,"FW,MF",West Ham,25,35.9,6,73,21,28.8,2.03,0.58,0.07,0.24,1,2,8.9,7.8,0.11,-2.9,-2.8
66,James Bree,eng ENG,DF,Southampton,24,4.1,0,1,1,100.0,0.25,0.25,0.00,0.00,0,0,0.0,0.0,0.03,0.0,0.0
67,Armando Broja,al ALB,FW,Chelsea,20,3.3,1,6,5,83.3,1.84,1.53,0.17,0.20,0,0,0.8,0.8,0.14,+0.2,+0.2
68,David Brooks,wls WAL,"FW,MF",Bournemouth,25,1.9,0,5,1,20.0,2.60,0.52,0.00,0.00,0,0,0.3,0.3,0.05,-0.3,-0.3
69,Lewis Brunt,eng ENG,DF,Leicester City,21,0.3,0,0,0,,0.00,0.00,,,0,0,0.0,0.0,,0.0,0.0
70,Emi Buendía,ar ARG,"MF,FW",Aston Villa,25,26.8,5,49,11,22.4,1.83,0.41,0.10,0.45,0,0,6.3,6.3,0.13,-1.3,-1.3
71,Hugo Bueno,es ESP,DF,Wolves,19,14.6,0,4,1,25.0,0.27,0.07,0.00,0.00,0,0,0.2,0.2,0.04,-0.2,-0.2
72,Facundo Buonanotte,ar ARG,"FW,MF",Brighton,17,6.3,1,11,3,27.3,1.75,0.48,0.09,0.33,0,0,1.4,1.4,0.13,-0.4,-0.4
73,Dan Burn,eng ENG,DF,Newcastle Utd,30,34.6,1,21,4,19.0,0.61,0.12,0.05,0.25,0,0,2.1,2.1,0.10,-1.1,-1.1
74,Cafú,pt POR,MF,Nott'ham Forest,29,0.1,0,0,0,,0.00,0.00,,,0,0,0.0,0.0,,0.0,0.0
75,Moisés Caicedo,ec ECU,MF,Brighton,20,34.9,1,28,8,28.6,0.80,0.23,0.04,0.13,0,0,1.7,1.7,0.06,-0.7,-0.7
76,Tom Cairney,sct SCO,MF,Fulham,31,11.0,2,21,2,9.5,1.91,0.18,0.10,1.00,0,0,1.5,1.5,0.07,+0.5,+0.5
77,Duje Ćaleta-Car,hr CRO,DF,Southampton,25,10.5,1,5,2,40.0,0.48,0.19,0.20,0.50,0,0,0.8,0.8,0.16,+0.2,+0.2
78,Dominic Calvert-Lewin,eng ENG,FW,Everton,25,12.9,2,30,9,30.0,2.32,0.70,0.03,0.11,1,1,5.8,5.0,0.17,-3.8,-4.0
79,Chem Campbell,wls WAL,"FW,MF",Wolves,19,0.8,0,2,0,0.0,2.43,0.00,0.00,,0,0,0.1,0.1,0.05,-0.1,-0.1
80,João Cancelo,pt POR,DF,Manchester City,28,14.2,2,17,3,17.6,1.20,0.21,0.12,0.67,0,0,0.8,0.8,0.05,+1.2,+1.2
81,Thomas Cannon,ie IRL,FW,Everton,19,0.3,0,1,1,100.0,3.60,3.60,0.00,0.00,0,0,0.1,0.1,0.09,-0.1,-0.1
82,Sergi Canós,es ESP,"FW,DF",Brentford,25,0.9,0,1,0,0.0,1.17,0.00,0.00,,0,0,0.1,0.1,0.07,-0.1,-0.1
83,Diego Carlos,br BRA,DF,Aston Villa,29,2.3,0,4,0,0.0,1.76,0.00,0.00,,0,0,0.4,0.4,0.09,-0.4,-0.4
84,Fabio Carvalho,pt POR,"MF,FW",Liverpool,19,3.9,2,11,4,36.4,2.85,1.04,0.18,0.50,0,0,1.1,1.1,0.10,+0.9,+0.9
85,Casemiro,br BRA,MF,Manchester Utd,30,23.6,4,34,11,32.4,1.44,0.47,0.12,0.36,0,0,3.4,3.4,0.10,+0.6,+0.6
86,Matty Cash,pl POL,DF,Aston Villa,24,20.2,0,7,1,14.3,0.35,0.05,0.00,0.00,0,0,0.2,0.2,0.03,-0.2,-0.2
87,Timothy Castagne,be BEL,DF,Leicester City,26,36.2,2,19,5,26.3,0.53,0.14,0.11,0.40,0,0,2.2,2.2,0.12,-0.2,-0.2
88,Jonny Castro,es ESP,DF,Wolves,28,14.0,1,9,2,22.2,0.64,0.14,0.11,0.50,0,0,0.3,0.3,0.03,+0.7,+0.7
89,Julio César Enciso,py PAR,"FW,MF",Brighton,18,9.0,4,38,18,47.4,4.24,2.01,0.11,0.22,0,0,4.0,4.0,0.11,0.0,0.0
90,Nathaniel Chalobah,eng ENG,MF,Fulham,27,0.1,0,1,1,100.0,7.50,7.50,0.00,0.00,0,0,0.1,0.1,0.09,-0.1,-0.1
91,Trevoh Chalobah,eng ENG,DF,Chelsea,23,17.9,0,9,2,22.2,0.50,0.11,0.00,0.00,0,0,0.9,0.9,0.10,-0.9,-0.9
92,Calum Chambers,eng ENG,"DF,MF",Aston Villa,27,3.9,0,2,0,0.0,0.51,0.00,0.00,,0,0,0.1,0.1,0.06,-0.1,-0.1
93,Shea Charles,nir NIR,DF,Manchester City,18,0.3,0,0,0,,0.00,0.00,,,0,0,0.0,0.0,,0.0,0.0
94,Ben Chilwell,eng ENG,"DF,MF",Chelsea,25,15.6,2,16,4,25.0,1.02,0.26,0.13,0.50,0,0,1.4,1.4,0.09,+0.6,+0.6
95,Ryan Christie,sct SCO,"MF,FW",Bournemouth,27,20.4,1,33,9,27.3,1.62,0.44,0.03,0.11,0,0,2.8,2.8,0.08,-1.8,-1.8
96,Carney Chukwuemeka,eng ENG,"MF,FW",Chelsea,18,3.9,0,5,1,20.0,1.27,0.25,0.00,0.00,0,0,0.4,0.4,0.08,-0.4,-0.4
97,Bobby Clark,eng ENG,MF,Liverpool,17,0.1,0,0,0,,0.00,0.00,,,0,0,0.0,0.0,,0.0,0.0
98,Nathaniel Clyne,eng ENG,DF,Crystal Palace,31,18.2,0,0,0,,0.00,0.00,,,0,0,0.0,0.0,,0.0,0.0
99,Conor Coady,eng ENG,DF,Everton,29,23.3,1,4,2,50.0,0.17,0.09,0.25,0.50,0,0,0.8,0.8,0.21,+0.2,+0.2
100,Jack Colback,eng ENG,MF,Nott'ham Forest,32,5.5,0,0,0,,0.00,0.00,,,0,0,0.0,0.0,,0.0,0.0
101,Séamus Coleman,ie IRL,DF,Everton,33,18.4,1,7,2,28.6,0.38,0.11,0.14,0.50,0,0,0.4,0.4,0.05,+0.6,+0.6
102,Nathan Collins,ie IRL,DF,Wolves,21,20.2,0,3,0,0.0,0.15,0.00,0.00,,0,0,0.2,0.2,0.08,-0.2,-0.2
103,Levi Colwill,eng ENG,DF,Brighton,19,13.6,0,8,0,0.0,0.59,0.00,0.00,,0,0,1.4,1.4,0.18,-1.4,-1.4
104,Lewis Cook,eng ENG,MF,Bournemouth,25,19.1,0,6,0,0.0,0.31,0.00,0.00,,0,0,0.2,0.2,0.04,-0.2,-0.2
105,Steve Cook,eng ENG,DF,Nott'ham Forest,31,10.6,0,3,0,0.0,0.28,0.00,0.00,,0,0,0.1,0.1,0.05,-0.1,-0.1
106,Liam Cooper,sct SCO,DF,Leeds United,30,15.8,1,10,2,20.0,0.63,0.13,0.10,0.50,0,0,1.0,1.0,0.11,0.0,0.0
107,Maxwel Cornet,ci CIV,FW,West Ham,25,2.7,0,9,2,22.2,3.31,0.73,0.00,0.00,0,0,1.3,1.3,0.14,-1.3,-1.3
108,Diego Costa,es ESP,FW,Wolves,33,13.8,1,28,14,50.0,2.03,1.02,0.04,0.07,0,0,3.2,3.2,0.11,-2.2,-2.2
109,Vladimír Coufal,cz CZE,DF,West Ham,29,23.7,0,6,0,0.0,0.25,0.00,0.00,,0,0,0.3,0.3,0.04,-0.3,-0.3
110,Philippe Coutinho,br BRA,"MF,FW",Aston Villa,30,8.8,1,21,8,38.1,2.40,0.91,0.05,0.13,0,0,1.4,1.4,0.07,-0.4,-0.4
